Name,Description
Preescolar, Educación basica inicial - comprensión de conceptos básicos,
Primaria, Educación basica inicial - comprensión de conceptos básicos,
Secundaria, Educación basica media -  formación integral que abarca diversas áreas del conocimiento,
Bachillerato general, Educación media - enfocado en la formación en áreas generales del conocimiento,
Bachillerato tecnológico, Educación media superior -  formación de técnicos y profesionales especializados en diferentes áreas del conocimiento,
Licenciatura tecnica, Educación media-superior - estudio con enfoque en diferentes áreas del conocimiento sin conclusión,
Licenciatura, Educación superior - estudio con enfoque en diferentes áreas del conocimiento,
Postgrado, Educación avanzada -  a nivel de maestría y doctorado,
Especialización, Incluye certificación orientado a formar competencias técnicas y profesionales específicas,

